City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,xilin hot,43.9667,116.0333,29.8,27,28,1.67,CN,1690258544
141,susuman,62.7833,148.1667,24.32,38,68,5.66,RU,1690258069
142,hasaki,35.7333,140.8333,36.84,74,100,5.34,JP,1690258651
143,ha'il,27.5219,41.6907,27.01,18,0,1.03,SA,1690258651
144,sao joao da barra,-21.6403,-41.0511,20.83,87,4,3.45,BR,1690258084
145,nadym,65.5333,72.5167,23.69,57,100,4.5,RU,1690258652
146,paphos,34.7667,32.4167,32.88,22,0,3.6,CY,1690258653
147,hermoso campo,-27.6082,-61.3444,11.17,81,97,3.33,AR,1690258653
148,la ronge,55.1001,-105.2842,21.14,52,0,0.51,CA,1690258654
149,longjiang,47.3303,123.1836,27.27,65,92,2.01,CN,1690258552
150,reggane,26.7158,0.1714,34.46,8,1,2.97,DZ,1690258064
151,hermanus,-34.4187,19.2345,9.48,66,0,2.52,ZA,1690258606
152,haiku-pauwela,20.9219,-156.3051,26.2,73,20,11.32,US,1690258147
153,iqaluit,63.7506,-68.5145,5.85,93,75,3.09,CA,1690258656
154,prado,-17.3411,-39.2208,19.51,95,36,2.34,BR,1690258612
155,ngambe,4.2333,10.6167,20.76,99,100,1.05,CM,1690258657
156,port elizabeth,-33.918,25.5701,4.16,87,0,1.03,ZA,1690258513
157,la passe,45.5549,-0.8967,16.66,70,100,8.1,FR,1690258657
158,katsuura,35.1333,140.3,28.12,75,57,5.02,JP,1690258246
159,ivankiv,50.9386,29.8943,17.21,83,55,2.47,UA,1690258658
160,turpan,42.9333,89.1667,39.6,16,0,1.93,CN,1690258560
161,saipan,15.1355,145.701,30.39,100,100,6.17,MP,1690258659
162,coquimbo,-29.9533,-71.3436,12.85,87,0,1.03,CL,1690258660
163,constitucion,-35.3333,-72.4167,11.62,70,100,2.23,CL,1690258626
164,marsa alam,25.0757,34.8918,32.08,44,0,1.46,EG,1690258661
165,biloela,-24.4167,150.5,21.39,51,71,9.16,AU,1690258661
166,kayangel,8.0823,134.7173,28.44,75,99,4.2,PW,1690258662
167,la fleche,47.6982,-0.0755,16.14,94,100,5.53,FR,1690258662
168,kamaishi,39.2667,141.8833,29.39,64,21,1.57,JP,1690258628
169,bolotnoye,55.6717,84.3981,24.47,53,36,2.38,RU,1690258422
170,kone,-21.0595,164.8658,22.88,51,98,6.58,NC,1690258065
171,zouerate,22.7187,-12.4521,26.64,36,2,5.2,MR,1690258110
172,whistler,50.1164,-122.9695,10.31,96,100,1.51,CA,1690258664
173,diego de almagro,-26.3667,-70.05,12.1,65,61,0.1,CL,1690258665
174,remire-montjoly,4.9167,-52.2667,24.02,100,75,0.0,GF,1690258665
175,klyuchi,52.2667,79.1667,25.7,34,84,5.58,RU,1690258666
176,avarua,-21.2078,-159.775,23.03,73,75,2.57,CK,1690258494
177,manay,7.215,126.5397,29.44,74,100,7.22,PH,1690258667
178,justo daract,-33.8594,-65.1828,7.8,72,4,6.93,AR,1690258667
179,nova sintra,14.8667,-24.7167,22.4,84,100,6.78,CV,1690258668
180,naze,28.3667,129.4833,30.51,78,100,5.23,JP,1690258379
181,mountain home,43.133,-115.6912,25.71,36,0,7.2,US,1690258668
182,alvaraes,-3.2208,-64.8042,23.57,61,3,0.32,BR,1690258669
183,atherton,53.5237,-2.4935,12.05,93,57,0.45,GB,1690258669
184,magadan,59.5667,150.8,24.74,60,19,2.4,RU,1690258120
185,pulandian,39.3953,121.9669,29.72,69,98,4.35,CN,1690258670
186,uyar,55.81,94.3153,19.14,78,100,4.22,RU,1690258671
187,oroqen zizhiqi,50.5667,123.7167,30.36,32,17,1.03,CN,1690258446
188,kavaratti,10.5669,72.642,28.28,76,99,7.44,IN,1690258103
189,kingston,17.997,-76.7936,28.53,77,20,1.03,JM,1690258672
190,port lincoln,-34.7333,135.8667,14.87,68,0,4.12,AU,1690258431
191,brisas de zicatela,15.8369,-97.0419,27.5,79,88,1.53,MX,1690258674
192,soufriere,13.8562,-61.0566,27.78,89,40,10.29,LC,1690258675
193,tadine,-21.55,167.8833,21.11,60,100,6.73,NC,1690258675
194,alice springs,-23.7,133.8833,17.75,34,0,8.23,AU,1690258110
195,jonquiere,48.4165,-71.2488,18.06,92,78,1.14,CA,1690258632
196,san juan de miraflores,-12.1629,-76.9635,19.29,82,74,4.04,PE,1690258679
197,atafu village,-8.5421,-172.5159,28.99,72,43,8.62,TK,1690258680
198,praia da vitoria,38.7333,-27.0667,21.53,94,75,4.18,PT,1690258681
199,antigonish,45.6169,-61.9986,22.37,81,100,2.58,CA,1690258682
200,longyearbyen,78.2186,15.6401,9.91,76,75,2.57,SJ,1690258682
201,colonia,50.9333,6.95,15.54,89,75,1.54,DE,1690258620
202,kismayo,-0.3582,42.5454,25.08,74,67,7.58,SO,1690258683
203,rudnichnyy,59.617,52.4703,15.0,88,26,2.2,RU,1690258684
204,alnwick,55.4132,-1.7056,11.71,76,100,4.12,GB,1690258684
205,hood river,45.7054,-121.5215,22.57,64,0,3.6,US,1690258685
206,fale old settlement,-9.3852,-171.2468,28.83,73,5,8.65,TK,1690258685
207,as sulayyil,20.4607,45.5779,34.64,10,85,2.24,SA,1690258095
208,al hamul,31.3115,31.1477,26.03,78,0,2.36,EG,1690258686
209,badger,64.8,-147.5333,29.95,49,75,3.6,US,1690258686
210,taltal,-25.4,-70.4833,14.51,87,26,0.64,CL,1690258687
211,nova vicosa,-17.8919,-39.3719,21.1,88,17,1.42,BR,1690258088
212,kill devil hills,36.0307,-75.676,26.01,89,0,3.09,US,1690258688
213,menongue,-14.6585,17.691,10.64,45,3,1.87,AO,1690258688
214,puerto deseado,-47.7503,-65.8938,5.25,84,100,9.74,AR,1690258689
215,zuwarah,32.9312,12.082,31.13,31,0,4.64,LY,1690258690
216,vadso,70.0744,29.7487,9.49,93,75,7.2,NO,1690258690
